Month,Firefox,Safari,Google Chrome,Internet Explorer,Opera
2004-01,12,2,2,37,9
2004-02,20,2,2,39,9
2004-03,18,2,2,34,8
2004-04,20,2,2,33,9
2004-05,20,2,2,35,9
2004-06,29,2,1,35,10
2004-07,41,2,2,35,11
2004-08,33,2,2,33,9
2004-09,44,2,2,32,9
2004-10,45,2,1,32,9
2004-11,68,2,1,28,9
2004-12,65,2,1,29,9
2005-01,64,2,1,28,8
2005-02,64,2,1,29,9
2005-03,58,2,1,26,7
2005-04,55,2,1,25,8
2005-05,57,2,1,25,8
2005-06,49,2,1,23,7
2005-07,55,2,2,25,7
2005-08,54,2,1,27,8
2005-09,54,2,1,24,10
2005-10,52,2,1,23,10
2005-11,52,2,1,23,9
2005-12,63,2,1,22,9
2006-01,55,2,1,23,9
2006-02,54,2,1,25,10
2006-03,51,2,1,23,9
2006-04,52,2,1,25,9
2006-05,49,2,1,25,9
2006-06,50,2,1,25,10
2006-07,55,2,1,26,9
2006-08,56,2,1,28,10
2006-09,58,2,1,27,10
2006-10,75,2,1,33,9
2006-11,74,2,1,35,9
2006-12,69,2,1,33,11
2007-01,64,2,1,31,9
2007-02,63,2,1,29,9
2007-03,60,2,1,26,9
2007-04,59,2,1,25,9
2007-05,56,2,1,24,9
2007-06,57,8,1,22,9
2007-07,58,4,1,23,9
2007-08,59,4,1,23,9
2007-09,60,3,1,21,9
2007-10,59,4,1,23,9
2007-11,60,4,1,21,9
2007-12,66,4,1,23,11
2008-01,59,4,1,22,10
2008-02,61,4,1,21,10
2008-03,64,6,1,22,10
2008-04,62,6,1,21,10
2008-05,64,5,1,20,10
2008-06,100,5,1,21,12
2008-07,79,5,1,21,11
2008-08,73,5,1,22,10
2008-09,75,5,56,25,10
2008-10,66,4,13,22,11
2008-11,66,5,12,22,11
2008-12,71,5,15,25,12
2009-01,69,5,13,24,11
2009-02,65,6,12,24,10
2009-03,66,7,13,30,11
2009-04,64,5,16,29,10
2009-05,61,5,15,26,10
2009-06,62,7,15,25,10
2009-07,73,6,18,27,10
2009-08,72,5,18,26,11
2009-09,67,6,20,24,13
2009-10,66,5,21,23,11
2009-11,68,5,24,23,12
2009-12,69,5,29,23,11
2010-01,74,5,30,24,11
2010-02,70,5,32,22,11
2010-03,73,5,30,23,14
2010-04,65,5,30,22,12
2010-05,55,5,31,20,11
2010-06,58,7,32,20,10
2010-07,63,6,32,19,15
2010-08,60,6,33,19,14
2010-09,60,5,37,23,15
2010-10,61,5,38,21,15
2010-11,57,5,36,20,14
2010-12,60,5,42,21,16
2011-01,55,5,39,19,15
2011-02,57,5,45,19,15
2011-03,73,5,44,23,16
2011-04,61,5,43,21,17
2011-05,61,5,46,21,16
2011-06,62,5,46,20,16
2011-07,57,6,49,19,17
2011-08,62,6,49,18,16
2011-09,57,5,51,17,18
2011-10,53,6,50,17,18
2011-11,51,5,50,16,18
2011-12,50,5,54,16,19
2012-01,50,5,52,16,18
2012-02,48,5,50,15,18
2012-03,44,5,47,15,18
2012-04,41,5,47,14,17
2012-05,40,5,48,14,16
2012-06,43,5,45,13,17
2012-07,44,5,51,13,17
2012-08,42,6,53,14,17
2012-09,43,5,50,16,17
2012-10,41,5,48,14,15
2012-11,39,5,48,13,16
2012-12,37,5,48,12,17
2013-01,38,5,48,13,16
2013-02,37,5,49,13,17
2013-03,35,4,47,13,17
2013-04,34,4,46,13,17
2013-05,32,4,43,12,16
2013-06,32,4,44,12,16
2013-07,34,4,45,12,17
2013-08,32,4,47,11,17
2013-09,32,5,47,11,16
2013-10,33,5,49,12,16
2013-11,33,5,45,13,16
2013-12,31,4,44,12,16
2014-01,31,5,48,12,16
2014-02,31,4,47,12,15
2014-03,30,4,46,10,15
2014-04,31,4,47,12,14
2014-05,31,4,45,11,14
2014-06,29,4,44,10,15
2014-07,27,4,44,9,15
2014-08,28,4,46,9,15
2014-09,30,5,48,9,14
2014-10,28,5,46,10,14
2014-11,28,5,45,9,14
2014-12,29,5,48,9,13
2015-01,27,4,48,9,13
2015-02,26,4,45,9,12
2015-03,25,4,42,8,11
2015-04,25,4,47,8,12
2015-05,24,4,46,7,11
2015-06,24,4,43,8,11
2015-07,24,4,44,8,10
2015-08,24,4,43,8,10
2015-09,23,4,41,7,10
2015-10,22,4,40,7,9
2015-11,21,4,38,6,9
2015-12,20,4,37,6,8
2016-01,14,4,27,5,7
2016-02,14,3,28,5,6
2016-03,12,4,27,5,6
2016-04,12,3,26,5,6
2016-05,12,3,27,4,6
2016-06,11,3,27,4,5
2016-07,10,3,23,4,5
2016-08,11,3,24,4,5
2016-09,11,3,27,4,6
2016-10,11,3,27,4,5
2016-11,10,3,26,4,5
2016-12,10,3,26,4,5
2017-01,10,3,27,4,5
2017-02,10,3,27,4,5
2017-03,11,3,26,4,4
2017-04,10,3,26,4,5
2017-05,9,3,27,4,6
2017-06,9,3,23,4,5
2017-07,8,3,23,4,5
2017-08,10,3,26,4,4
2017-09,10,3,25,4,4
2017-10,10,3,25,4,4
2017-11,13,3,25,3,4
2017-12,10,3,24,3,4
2018-01,10,3,24,3,4
2018-02,9,3,24,3,4
2018-03,9,3,24,3,4
2018-04,8,3,22,3,4
2018-05,8,3,23,3,3
2018-06,7,2,22,3,3
2018-07,7,2,20,3,3
2018-08,7,2,21,3,3
2018-09,7,3,25,3,3
2018-10,7,3,23,3,3
2018-11,7,2,22,3,3
2018-12,7,3,22,2,3
2019-01,7,2,21,3,3
2019-02,7,2,22,2,3
2019-03,6,2,21,2,3
2019-04,6,2,21,3,3
2019-05,7,2,21,2,3
2019-06,6,2,21,2,3
2019-07,6,2,20,2,3
2019-08,6,2,21,2,3
2019-09,6,3,23,2,3
2019-10,6,3,22,2,3
2019-11,6,3,22,2,3
2019-12,6,2,20,2,3
2020-01,6,2,21,2,3
2020-02,6,2,23,2,3
2020-03,6,3,26,2,3
2020-04,7,3,29,2,3
2020-05,6,3,26,2,3
2020-06,6,3,23,2,3
2020-07,6,3,23,2,3
2020-08,6,3,25,2,3
2020-09,6,3,27,2,3
2020-10,5,3,22,2,3
