y_axis,x_axis,sizes
3.25,0.0,25
3.44,1.0,25
3.51,2.0,25
3.54,3.0,25
3.83,4.0,25
3.88,5.0,25
3.97,6.0,25
4.0,7.0,25
4.06,8.0,25
4.13,9.0,25
4.14,10.0,25
4.15,11.0,25
4.15,12.0,25
4.16,13.0,25
4.16,14.0,25
4.17,15.0,25
4.19,16.0,25
4.28,17.0,25
4.28,18.0,25
4.35,19.0,25
4.38,20.0,25
4.39,21.0,25
4.44,22.0,25
4.45,23.0,25
4.49,24.0,25
4.54,25.0,25
4.56,26.0,25
4.8,27.0,25
4.83,28.0,25
4.87,29.0,25
4.89,30.0,25
4.95,31.0,25
5.0,32.0,25
5.02,33.0,25
5.19,34.0,25
5.31,35.0,25
5.4,36.0,25
5.42,37.0,25
5.5,38.0,25
5.53,39.0,25
5.69,40.0,25
5.71,41.0,25
5.79,42.0,25
5.8,43.0,25
5.82,44.0,25
5.9,45.0,25
5.96,46.0,25
6.0,47.0,25
6.02,48.0,25
6.08,49.0,25
6.12,50.0,25
6.15,51.0,25
6.3,52.0,25
6.41,53.0,25
6.45,54.0,25
6.6,55.0,25
6.6,56.0,25
6.7,57.0,25
6.72,58.0,25
6.74,59.0,25
6.84,60.0,25
6.85,61.0,25
6.87,62.0,25
6.9,63.0,25
6.9,64.0,25
6.95,65.0,25
7.0,66.0,25
7.01,67.0,25
7.07,68.0,25
7.13,69.0,25
7.15,70.0,25
7.17,71.0,25
7.18,72.0,25
7.2,73.0,25
7.2,74.0,25
7.21,75.0,25
7.22,76.0,25
7.28,77.0,25
7.28,78.0,25
7.29,79.0,25
7.29,80.0,25
7.29,81.0,25
7.31,82.0,25
7.31,83.0,25
7.33,84.0,25
7.36,85.0,25
7.36,86.0,25
7.36,87.0,25
7.4,88.0,25
7.4,89.0,25
7.43,90.0,25
7.5,91.0,25
7.51,92.0,25
7.51,93.0,25
7.56,94.0,25
7.56,95.0,25
7.6,96.0,25
7.6,97.0,25
7.63,98.0,25
7.64,99.0,25
7.65,100.0,25
7.67,101.0,25
7.71,102.0,25
7.71,103.0,25
7.74,104.0,25
7.76,105.0,25
7.78,106.0,25
7.8,107.0,25
7.8,108.0,25
7.87,109.0,25
7.88,110.0,25
7.9,111.0,25
7.93,112.0,25
7.94,113.0,25
7.94,114.0,25
7.95,115.0,25
8.0,116.0,25
8.0,117.0,25
8.05,118.0,25
8.07,119.0,25
8.07,120.0,25
8.07,121.0,25
8.1,122.0,25
8.1,123.0,25
8.1,124.0,25
8.18,125.0,25
8.2,126.0,25
8.2,127.0,25
8.24,128.0,25
8.26,129.0,25
8.29,130.0,25
8.3,131.0,25
8.3,132.0,25
8.33,133.0,25
8.35,134.0,25
8.39,135.0,25
8.39,136.0,25
8.4,137.0,25
8.4,138.0,25
8.4,139.0,25
8.42,140.0,25
8.44,141.0,25
8.45,142.0,25
8.46,143.0,25
8.49,144.0,25
8.5,145.0,25
8.5,146.0,25
8.51,147.0,25
8.52,148.0,25
8.6,149.0,25
8.63,150.0,25
8.63,151.0,25
8.7,152.0,25
8.7,153.0,25
8.74,154.0,25
8.79,155.0,25
8.8,156.0,25
8.8,157.0,25
8.81,158.0,25
8.83,159.0,250
8.84,160.0,250
8.84,161.0,250
8.86,162.0,250
8.89,163.0,250
8.89,164.0,250
8.91,165.0,250
8.95,166.0,250
8.98,167.0,250
8.99,168.0,250
9.0,169.0,250
9.0,170.0,250
9.0,171.0,250
9.07,172.0,250
9.11,173.0,250
9.2,174.0,250
9.22,175.0,250
9.32,176.0,250
9.42,177.0,250
9.42,178.0,250
9.7,179.0,250
9.7,180.0,250
9.81,181.0,250
10.11,182.0,250
10.12,183.0,250
10.2,184.0,250
10.3,185.0,250
11.2,186.0,250
22.91,187.0,250
